studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,10thmark,12thmark,cutoff,Annualincome,community,extracurricularinfo,gender,age,numberofprojects,numberofresearchpapers,levelofresearchpapers,competitions,gatescore,grescore,gmatscore,catscore,toeflscore,ieltsscore,leetcodecount,codechefstars,languagesknown,onlinecourses,internship,preferredcountry,preferreddegree,preferredcourse
Kevin Roy,S117611,Data Science,B,4th,2027,10/25/1995,"31277 Adam Plaza Suite 150
North Staceymouth, MT 56400",8122812395,jefferybell@example.net,8.5,80,52,96,64763,ST,Sports,Other,24,9,2,International,Quiz,64,331,522,25,51,2,2,1,Spanish,None,No,USA,PhD,Machine Learning
Ryan Lucero,S700208,Data Science,A,2nd,2027,9/25/1993,"78577 Foster Isle Apt. 400
Donaldview, PA 16595",-2541,nicolescott@example.org,7.65,76,68,91,35966,SC,Sports,Other,22,10,3,Local,Coding Contest,45,296,504,13,89,1,65,2,English,Udacity,Yes,Australia,MBA,Software Engineering
Sarah Tran,S641974,Mechanical,B,2nd,2027,5/10/1999,"USNS Estes
FPO AA 12163",+1-642-905-7530x8398,angelicamiller@example.com,2.94,88,54,53,114148,OBC,Arts,Female,26,2,5,Local,Quiz,23,269,583,66,7,8,30,2,Spanish,None,Yes,UK,PhD,Software Engineering
Wendy Mayo,S499802,Computer Science,B,1st,2028,7/12/2004,"520 Lee Divide Apt. 798
West Ashley, CA 36281",(661)629-2168,russelljohn@example.org,5.54,100,80,70,110474,ST,Arts,Other,18,10,1,International,Coding Contest,93,281,731,33,77,0,100,0,Spanish,Udacity,No,Germany,PhD,Data Science
Amy Wolf,S675191,Computer Science,B,3rd,2025,12/10/1993,"USNS Hunter
FPO AE 33508",668-593-5837x7651,jessewebb@example.com,6.38,68,83,88,51609,ST,Music,Other,19,4,4,International,Quiz,66,305,267,60,78,6,12,5,Spanish,Coursera,No,Australia,M.Tech,Software Engineering
Rebecca Barnes,S547350,Computer Science,B,3rd,2026,8/5/2000,"927 Ryan Ridges
Matthewchester, MD 49948",680-287-8263,moniqueyoung@example.com,8.79,84,70,93,116979,OBC,None,Other,26,1,5,Local,Hackathon,31,260,797,30,120,5,50,0,English,None,No,UK,MBA,Machine Learning
Mario Graham,S707316,Data Science,C,3rd,2026,2/18/2004,"7820 Joshua Spurs
Bowmanside, RI 14761",750-766-4108,donnajames@example.org,2.23,83,96,94,41258,OBC,None,Male,25,6,2,National,Hackathon,100,276,718,44,118,0,64,5,Chinese,Udacity,Yes,Canada,MBA,Software Engineering
Dean White,S451509,Data Science,C,2nd,2026,1/8/2004,"6250 Anderson Crescent Suite 877
West Janet, DE 44142",+1-228-299-3338x475,rgarcia@example.net,2.55,60,90,59,94465,ST,Music,Female,20,8,5,National,Hackathon,0,320,678,99,26,9,78,5,German,Udacity,Yes,Australia,MBA,Machine Learning
Laura Russell,S785967,Electronics,A,4th,2025,12/8/1993,"3863 Lee Mission Suite 945
West Brettfurt, VT 72116",610-833-7160x33640,meredithshaw@example.org,4.21,74,78,51,119765,ST,None,Other,26,4,1,International,None,17,328,768,51,83,8,84,0,German,None,Yes,UK,PhD,Software Engineering
Kyle Smith,S980124,Computer Science,C,2nd,2027,12/11/1997,"Unit 5373 Box 8726
DPO AP 44234",560.977.8066,parkbenjamin@example.org,1.35,73,70,82,30697,OBC,Arts,Other,24,2,5,International,None,14,314,682,61,86,0,6,5,German,edX,Yes,Australia,MBA,AI
Keith Garcia,S954761,Electronics,B,3rd,2025,6/9/1995,"565 Christopher Island Suite 739
Keithberg, NC 29862",964.893.8823,lievan@example.com,6.94,86,65,68,75072,General,Sports,Male,20,2,1,National,Quiz,40,319,467,98,49,6,78,5,French,Coursera,No,Australia,PhD,Machine Learning
Jordan Taylor,S932895,Data Science,C,4th,2027,11/13/1993,"64397 Brown Ford
Courtneymouth, OK 65135",+1-594-329-1003x9418,gtaylor@example.com,4.27,73,58,95,32190,General,None,Female,23,7,0,International,None,39,309,436,18,44,7,65,4,French,edX,No,Germany,M.Tech,Software Engineering
Caitlin Robinson,S661420,Electronics,B,1st,2028,3/21/2005,"8335 Tom Manors Suite 467
Lake Kevinfurt, CO 15723",914.668.4581,andre78@example.com,6.08,97,56,93,34202,OBC,None,Other,27,7,4,Local,None,69,275,426,48,46,3,36,3,Spanish,Udacity,No,USA,MBA,Machine Learning
Michael Walker,S896224,Electronics,B,2nd,2028,7/11/1999,"287 Henderson Islands
Waltertown, MH 75479",001-774-972-6333,kimberlysteele@example.net,8.11,50,77,95,113331,OBC,Arts,Female,20,3,2,International,None,82,327,746,22,42,5,67,3,English,Udacity,Yes,Germany,M.Sc,Data Science
Brandon Quinn,S187405,Computer Science,B,3rd,2025,12/3/1996,"870 Potter Points
New Kimberly, DC 27875",992-861-5192x955,kathy77@example.com,6.43,57,85,96,56329,General,None,Female,24,10,3,National,None,47,265,774,69,44,5,91,5,Spanish,edX,No,USA,M.Sc,Data Science
Victor Murphy,S727783,Computer Science,B,3rd,2025,11/19/1995,"8141 Clark Valley
New Michael, MD 83743",+1-784-736-8620x763,rwilliamson@example.org,2.09,57,74,95,109060,SC,Arts,Other,30,9,0,Local,None,10,281,671,47,94,4,18,5,English,Udacity,Yes,UK,M.Tech,Software Engineering
Mrs. Catherine Liu MD,S353705,Computer Science,C,4th,2028,12/6/2000,"USCGC Henry
FPO AA 08923",+1-379-232-6896x10875,toddhowell@example.com,6.54,54,96,62,40865,General,Sports,Other,21,0,5,Local,Hackathon,100,279,752,53,24,7,64,0,English,Coursera,No,Germany,MBA,Machine Learning
Cory Montgomery,S426915,Data Science,C,2nd,2027,12/28/1996,"67276 Gordon Street Apt. 964
Nicoleton, MN 46984",001-454-417-3159x9477,serranokelly@example.net,0.58,95,92,86,62218,SC,Music,Other,28,0,1,Local,Quiz,23,340,459,96,93,0,11,3,French,Coursera,Yes,Australia,M.Tech,Data Science
Brian Castaneda,S796311,Mechanical,A,1st,2027,2/29/2004,"0326 Nunez Square Apt. 433
Hollyland, VT 90511",001-321-954-7334,shughes@example.net,4.46,50,65,93,58723,OBC,None,Male,24,6,2,International,Quiz,19,316,552,53,57,0,91,5,Chinese,edX,Yes,UK,M.Sc,Data Science
Mark Morrison,S654587,Data Science,B,3rd,2026,5/19/1995,"53784 Bruce Extensions Apt. 259
Thompsonfurt, GU 96114",(362)678-6503x472,alanyoung@example.net,3.16,87,59,65,97962,OBC,Sports,Female,20,5,3,Local,Hackathon,76,289,365,12,105,6,5,5,English,edX,Yes,UK,M.Tech,AI
Jason Torres,S322188,Mechanical,A,1st,2025,2/13/2000,"USNS Rich
FPO AE 30172",9373601799,daniel45@example.com,6.65,85,83,86,61964,OBC,Sports,Male,24,8,1,Local,Coding Contest,36,261,252,25,67,5,56,3,Spanish,None,No,Canada,M.Sc,AI
Molly Miller,S249347,Computer Science,A,1st,2025,10/22/2005,"46094 Kyle Loaf
Lake Lisaport, ID 36517",663-466-5680,mandy39@example.org,3.97,86,81,92,71550,SC,Music,Other,29,10,1,National,Coding Contest,17,333,547,47,91,9,87,4,Spanish,None,No,Germany,M.Sc,Machine Learning
Cory Martinez,S306762,Computer Science,A,3rd,2028,4/20/1994,"2162 Amy Wall Suite 221
South Nicholasfurt, DE 69475",001-693-791-6673x5984,larryrussell@example.net,2,50,64,82,43202,ST,Arts,Other,28,8,2,International,Quiz,0,329,230,67,81,4,61,1,German,Coursera,No,UK,M.Tech,Data Science
Ryan Jones,S496215,Data Science,C,2nd,2027,9/7/2001,"704 Michael Cliffs
Kyliechester, MA 21511",610.949.7535x303,christinejordan@example.com,5.55,58,67,87,87929,General,Music,Male,22,0,0,Local,Coding Contest,44,322,733,62,20,0,52,4,French,edX,Yes,UK,PhD,Machine Learning
Lauren Carter,S318814,Mechanical,A,1st,2027,10/19/2000,"054 Chavez Court
Lake Seanstad, FL 48288",615-884-7517,andrea73@example.org,8.35,79,54,67,94368,General,None,Male,24,10,5,Local,Hackathon,86,271,277,42,65,1,8,4,Chinese,Udacity,No,UK,MBA,Software Engineering
Tyler Solis,S577262,Data Science,B,1st,2026,2/2/2001,"1171 Jessica Turnpike Apt. 379
West Dylanburgh, TX 50131",8444761393,henrynancy@example.com,3.42,68,75,56,76361,SC,Arts,Male,27,5,0,International,Coding Contest,33,297,564,85,19,9,19,4,English,Coursera,No,UK,M.Tech,Software Engineering
John Webb,S899560,Data Science,C,1st,2027,7/2/1996,"510 Odonnell Isle Suite 262
East Brianna, OK 69361",+1-332-576-2466x5937,charlesrichardson@example.com,6.58,99,89,93,66497,OBC,Arts,Male,31,10,0,International,None,45,273,412,18,105,7,18,1,English,Coursera,Yes,Australia,M.Tech,Data Science
Lawrence Odom,S393460,Computer Science,B,3rd,2028,5/29/2004,"4285 Berry Shoal Apt. 520
Hintontown, CA 54361",001-295-887-8760x53898,danielle16@example.com,1.2,54,66,91,116962,ST,Sports,Other,22,2,4,International,Coding Contest,60,298,350,84,14,2,37,0,English,edX,Yes,Australia,PhD,AI
Angela Rivers,S181559,Mechanical,A,1st,2028,9/12/2002,"USNV Lowe
FPO AP 84931",001-293-341-1514x2142,bryanttimothy@example.org,8.6,77,89,56,99207,OBC,None,Other,20,5,3,International,Quiz,37,330,456,70,0,4,41,1,German,edX,No,Australia,PhD,Machine Learning
Paula Wolf,S899578,Data Science,A,2nd,2027,5/1/1996,"0391 Smith Views
Stephenstad, NJ 11990",+1-911-729-6454x022,littlejoseph@example.org,9.69,58,90,73,50922,SC,None,Other,29,9,3,National,Quiz,49,336,279,78,12,8,4,4,French,edX,No,USA,M.Tech,Software Engineering
Deborah Webster,S524400,Electronics,A,3rd,2028,1/28/1995,"379 Robin Causeway
Port Walterberg, MD 01703",(301)393-5571x87818,tjohnson@example.org,7.01,51,81,86,113985,SC,Arts,Male,26,9,4,International,None,82,299,327,40,94,8,77,3,Chinese,Coursera,No,Canada,M.Tech,Machine Learning
Craig Murphy,S821594,Electronics,B,2nd,2025,1/10/1996,"5951 Jackson Creek
Port Robert, AL 77259",001-885-589-6436x452,ngonzales@example.com,3.29,77,94,58,94469,OBC,Music,Male,19,7,2,International,Quiz,30,278,548,3,86,0,39,2,Spanish,None,No,Canada,MBA,Software Engineering
Nicole Henry,S616658,Mechanical,B,1st,2026,5/5/2006,"58245 John Path
Smithtown, MT 85452",-11343,dominique69@example.org,4.37,74,100,93,96682,OBC,None,Other,25,1,2,National,Coding Contest,18,332,734,83,14,7,8,2,Spanish,Udacity,No,Canada,PhD,Software Engineering
Tonya Morgan,S481682,Data Science,A,2nd,2027,11/4/2004,"3212 Martin Path Suite 586
Carolynbury, OK 73165",-7308,alexandrawalker@example.net,4.61,73,82,66,93844,SC,None,Other,28,3,2,International,Quiz,44,290,469,97,112,5,71,5,Chinese,edX,No,Germany,M.Sc,Machine Learning
Cameron Smith,S699992,Electronics,C,3rd,2025,6/4/1998,"6511 Harris Groves
West Michael, NJ 57530",275-787-8757,xwood@example.org,9.14,81,55,76,41700,OBC,Music,Female,25,6,5,International,None,87,275,307,90,80,4,9,5,French,edX,No,Germany,PhD,Machine Learning
Beth Reyes,S167104,Mechanical,B,4th,2026,9/6/1997,"602 Patrick Gateway
Port Timothyborough, GA 51695",(497)805-2119x6836,lnguyen@example.com,9.57,69,61,98,84741,OBC,Arts,Other,31,1,0,Local,Quiz,74,290,800,71,13,2,54,1,Spanish,Coursera,No,USA,M.Tech,Software Engineering
Tiffany Nelson,S409244,Electronics,C,2nd,2028,10/7/1998,"717 Jeffrey Parkways
Torresland, CO 34928",(832)870-1852,rlee@example.org,7.94,88,98,97,71252,OBC,Sports,Male,29,10,0,International,None,69,263,307,29,30,5,28,5,Chinese,edX,No,Germany,M.Sc,Machine Learning
Gregory Graves,S949174,Computer Science,A,2nd,2025,4/27/1994,"71585 Caldwell Locks Apt. 697
Blackburnside, IA 96667",553-321-7187x651,zunigajulie@example.com,2.01,82,62,73,52836,SC,Music,Female,19,1,2,National,None,11,325,239,47,106,4,3,2,French,edX,Yes,Australia,M.Sc,Software Engineering
Matthew Carlson,S461012,Data Science,A,2nd,2028,10/3/1997,"3353 Michael Ways
Pughborough, DC 22489",613-814-2154x286,briancooper@example.com,0.71,51,71,52,115651,OBC,Sports,Male,30,7,2,Local,Coding Contest,80,328,200,96,9,3,90,2,Spanish,None,Yes,Germany,M.Sc,Data Science
Dr. Christopher May,S534736,Mechanical,A,1st,2026,9/11/1997,"6006 Richard Stream Apt. 996
Port Ericshire, PW 59351",+1-329-869-1814x985,cummingskatrina@example.org,0.7,84,95,52,107307,OBC,Sports,Other,21,4,5,International,Quiz,0,283,552,99,43,1,8,4,Spanish,Coursera,No,Germany,MBA,Software Engineering
Cheryl Snyder,S494694,Electronics,C,1st,2027,9/6/2002,"99368 Jason Circles Apt. 188
West Mirandafurt, WV 16210",(606)843-8661,smontoya@example.net,0.41,62,89,50,110651,OBC,Sports,Other,20,3,4,National,Hackathon,29,287,554,81,96,7,27,4,French,None,No,Australia,PhD,Data Science
Charles Rodgers,S983751,Mechanical,C,2nd,2027,10/5/2001,"5546 Bonilla Haven Apt. 799
New Andrea, KS 78717",(732)640-7471x350,psimmons@example.net,3.11,80,83,61,42426,OBC,Music,Other,25,1,3,National,Quiz,57,265,281,94,7,1,74,0,German,None,Yes,Canada,M.Sc,Machine Learning
Ryan Sosa,S259129,Mechanical,B,4th,2026,1/25/1996,"234 Steven Estates Suite 708
South Josephborough, MO 22933",278.261.9203x638,davidhudson@example.org,4.62,80,55,74,66215,ST,Arts,Male,25,3,2,National,None,64,303,239,91,100,9,24,3,English,None,No,Germany,PhD,AI
Elizabeth Murphy,S652657,Data Science,A,2nd,2028,5/22/2000,"8704 Gonzalez Land Apt. 162
Port Leslie, WV 64514",+1-747-282-9743x036,christopher30@example.org,9.66,80,65,57,45750,SC,None,Female,24,10,3,Local,Quiz,9,282,278,27,104,1,83,1,English,None,No,Canada,M.Sc,Data Science
Daniel Ramos,S454861,Electronics,A,3rd,2027,8/25/2001,"992 Carolyn Square Suite 293
West Kimberly, SC 46365",807.839.9669x974,toni19@example.com,8.37,99,78,71,91254,General,Music,Male,25,6,2,National,Coding Contest,5,286,565,34,35,1,3,4,Chinese,None,Yes,UK,M.Tech,Machine Learning
Jennifer Duncan,S545895,Electronics,C,4th,2028,4/9/2001,"768 Melissa Glens
Robertston, NE 55371",3837826505,charles88@example.org,8.02,58,74,93,119196,General,Sports,Other,24,0,1,Local,Hackathon,70,291,539,41,93,2,53,5,Chinese,None,No,Germany,PhD,Data Science
Jennifer Jackson,S723535,Mechanical,B,1st,2026,8/10/2004,"2039 Sheryl Crossing Suite 729
Stevenfurt, GA 70554",997-778-3412x53619,richardhenderson@example.net,8.14,66,91,71,44489,SC,Arts,Male,28,1,4,National,Quiz,89,339,357,8,16,3,20,3,French,None,No,Australia,M.Sc,AI
Kyle Winters,S967705,Electronics,C,1st,2026,5/25/2002,"7381 Martinez Keys
Kristinaside, MT 32681",325.646.2840x31959,powersrobert@example.net,6.41,78,97,78,78823,General,None,Male,28,4,5,National,Coding Contest,76,319,479,45,114,2,42,4,German,edX,Yes,USA,M.Tech,Data Science
Amy Castro,S282471,Computer Science,A,3rd,2026,9/22/2001,"USS Dean
FPO AA 49351",+1-294-467-6434x27541,kelsey82@example.com,1.46,96,54,94,73581,ST,None,Other,28,8,2,International,Hackathon,64,333,599,96,109,5,78,5,Chinese,edX,Yes,Australia,M.Sc,Software Engineering
Janice Lewis,S325986,Data Science,C,2nd,2026,2/15/1999,"44353 Jacobs Ridge Suite 358
Port Holly, IL 06153",-4978,andreawashington@example.org,6.79,100,92,85,53009,General,Sports,Female,18,2,1,Local,None,74,268,659,70,46,1,59,4,French,Coursera,No,USA,M.Tech,Software Engineering
Denise Boyle,S576547,Electronics,A,1st,2025,12/13/2003,"751 Santiago Lodge Apt. 472
West Patricia, KY 32778",712.623.8398,jennahunt@example.com,2.46,80,89,60,68816,OBC,Music,Other,19,7,0,International,Hackathon,0,286,505,86,83,0,97,4,English,edX,Yes,Germany,M.Tech,Data Science
Andrew Wilson,S681006,Computer Science,C,3rd,2028,9/3/2004,"USNV Lewis
FPO AE 35990",001-605-512-3677x29538,michael38@example.com,0.84,94,54,70,118739,OBC,None,Male,30,5,5,International,Hackathon,49,299,307,24,11,9,79,2,German,edX,Yes,USA,M.Sc,Machine Learning
Nicholas Thompson,S626040,Computer Science,B,1st,2027,7/7/1996,"USNV Brewer
FPO AE 37499",2892451248,abean@example.net,0.01,86,59,83,63398,OBC,Arts,Other,24,4,2,National,Coding Contest,10,281,349,4,15,6,37,5,German,Coursera,No,USA,M.Sc,Machine Learning
Michael Watson,S859431,Electronics,A,2nd,2025,7/1/1998,"5589 Miller Drives Apt. 801
Robertsmouth, NJ 89299",+1-773-385-9189x99787,dnguyen@example.org,7.46,57,100,61,89266,ST,Music,Other,20,5,0,Local,Quiz,93,273,777,16,91,1,72,5,English,Udacity,No,Canada,M.Tech,Data Science
Kevin Berger,S616077,Data Science,B,3rd,2028,5/12/2005,"4681 Becky Circle Apt. 167
Dianaview, CA 59225",(770)619-7564x6422,glenn36@example.org,7.55,63,60,77,35769,SC,Arts,Other,18,8,4,National,Coding Contest,77,317,393,43,87,2,12,4,Spanish,Udacity,No,Australia,MBA,Data Science
Wesley Grant,S561774,Data Science,B,2nd,2028,7/31/1994,"52085 Brandi Hill
South Kevin, TX 08545",(840)390-2018x625,sarah19@example.com,6.88,58,51,86,75539,General,None,Male,27,8,4,National,None,77,323,502,14,9,3,78,0,Spanish,edX,No,UK,MBA,Software Engineering
Amanda Gregory,S675715,Computer Science,C,1st,2025,8/7/2003,"USS Archer
FPO AP 33778",779-750-9520x882,aellis@example.com,4.21,83,51,60,49377,OBC,Arts,Female,22,8,1,Local,Coding Contest,93,291,492,99,98,2,30,4,Spanish,None,No,USA,M.Tech,Data Science
Kayla Snyder,S559025,Computer Science,B,4th,2028,8/29/2004,"92387 Smith Neck
Lake Craigtown, MA 65408",+1-729-214-5931x954,sarah49@example.com,8.1,59,62,60,115047,SC,None,Other,19,6,4,International,Quiz,38,320,390,48,110,1,62,3,English,edX,Yes,Canada,MBA,Data Science
